0.00000	    8.33333	    2.66667	    2.33333
72.60000	    2.71740	    1.75530	    1.14461	    1.27688	    1.11727
72.80000	    2.71514	    1.75633	    1.14556	    1.27577	    1.11630
73.00000	    2.71289	    1.75735	    1.14652	    1.27467	    1.11534
73.20000	    2.71066	    1.75837	    1.14746	    1.27358	    1.11438
73.40000	    2.70843	    1.75938	    1.14840	    1.27249	    1.11343
73.60000	    2.70622	    1.76038	    1.14934	    1.27140	    1.11248
73.80000	    2.70403	    1.76138	    1.15027	    1.27033	    1.11154
74.00000	    2.70184	    1.76237	    1.15120	    1.26925	    1.11060
74.20000	    2.69967	    1.76336	    1.15212	    1.26819	    1.10967
74.40000	    2.69750	    1.76434	    1.15304	    1.26713	    1.10874
74.60000	    2.69535	    1.76531	    1.15395	    1.26607	    1.10782
74.80000	    2.69321	    1.76628	    1.15485	    1.26503	    1.10690
75.00000	    2.69109	    1.76724	    1.15576	    1.26398	    1.10599
75.20000	    2.68897	    1.76820	    1.15665	    1.26295	    1.10508
75.40000	    2.68687	    1.76915	    1.15755	    1.26191	    1.10418
75.60000	    2.68477	    1.77010	    1.15843	    1.26089	    1.10328
75.80000	    2.68269	    1.77104	    1.15932	    1.25987	    1.10238
76.00000	    2.68062	    1.77197	    1.16019	    1.25885	    1.10150
76.20000	    2.67856	    1.77290	    1.16107	    1.25784	    1.10061
76.40000	    2.67651	    1.77382	    1.16194	    1.25684	    1.09973
76.60000	    2.67447	    1.77474	    1.16280	    1.25584	    1.09886
76.80000	    2.67244	    1.77565	    1.16366	    1.25485	    1.09799
77.00000	    2.67043	    1.77656	    1.16451	    1.25386	    1.09712
77.20000	    2.66842	    1.77746	    1.16537	    1.25287	    1.09626
77.40000	    2.66643	    1.77836	    1.16621	    1.25190	    1.09541
77.60000	    2.66444	    1.77925	    1.16705	    1.25092	    1.09456
77.80000	    2.66247	    1.78014	    1.16789	    1.24995	    1.09371
78.00000	    2.66050	    1.78102	    1.16872	    1.24899	    1.09287
78.20000	    2.65855	    1.78190	    1.16955	    1.24803	    1.09203
78.40000	    2.65660	    1.78277	    1.17038	    1.24708	    1.09119
78.60000	    2.65467	    1.78364	    1.17120	    1.24613	    1.09037
78.80000	    2.65274	    1.78450	    1.17201	    1.24519	    1.08954
79.00000	    2.65083	    1.78535	    1.17283	    1.24425	    1.08872
79.20000	    2.64892	    1.78621	    1.17363	    1.24332	    1.08790
79.40000	    2.64703	    1.78705	    1.17444	    1.24239	    1.08709
79.60000	    2.64514	    1.78790	    1.17524	    1.24146	    1.08628
79.80000	    2.64327	    1.78873	    1.17603	    1.24054	    1.08548
80.00000	    2.64140	    1.78957	    1.17682	    1.23963	    1.08468
80.20000	    2.63954	    1.79040	    1.17761	    1.23872	    1.08388
80.40000	    2.63770	    1.79122	    1.17840	    1.23781	    1.08309
80.60000	    2.63586	    1.79204	    1.17918	    1.23691	    1.08230
