0.00000	    8.33333	    2.33333	    2.66667
42.80000	    3.12092	    1.40191	    1.24323	    1.28976	    1.47401
43.00000	    3.11531	    1.40515	    1.24485	    1.28735	    1.47126
43.20000	    3.10974	    1.40835	    1.24644	    1.28497	    1.46853
43.40000	    3.10423	    1.41153	    1.24803	    1.28260	    1.46583
43.60000	    3.09876	    1.41468	    1.24959	    1.28026	    1.46315
43.80000	    3.09334	    1.41781	    1.25113	    1.27793	    1.46050
44.00000	    3.08796	    1.42091	    1.25266	    1.27563	    1.45786
44.20000	    3.08263	    1.42397	    1.25417	    1.27335	    1.45525
44.40000	    3.07735	    1.42702	    1.25567	    1.27108	    1.45266
44.60000	    3.07211	    1.43003	    1.25715	    1.26884	    1.45010
44.80000	    3.06692	    1.43302	    1.25861	    1.26661	    1.44755
45.00000	    3.06177	    1.43599	    1.26005	    1.26440	    1.44503
45.20000	    3.05666	    1.43893	    1.26148	    1.26221	    1.44253
45.40000	    3.05160	    1.44184	    1.26290	    1.26004	    1.44005
45.60000	    3.04658	    1.44473	    1.26430	    1.25789	    1.43759
45.80000	    3.04160	    1.44759	    1.26568	    1.25576	    1.43515
46.00000	    3.03666	    1.45043	    1.26705	    1.25364	    1.43273
46.20000	    3.03177	    1.45325	    1.26840	    1.25154	    1.43034
46.40000	    3.02691	    1.45604	    1.26974	    1.24946	    1.42796
46.60000	    3.02210	    1.45881	    1.27107	    1.24740	    1.42560
46.80000	    3.01732	    1.46156	    1.27238	    1.24535	    1.42326
47.00000	    3.01258	    1.46428	    1.27367	    1.24332	    1.42094
47.20000	    3.00789	    1.46698	    1.27496	    1.24131	    1.41864
47.40000	    3.00323	    1.46966	    1.27623	    1.23931	    1.41636
47.60000	    2.99861	    1.47231	    1.27749	    1.23733	    1.41409
47.80000	    2.99402	    1.47494	    1.27873	    1.23536	    1.41185
48.00000	    2.98947	    1.47756	    1.27996	    1.23342	    1.40962
48.20000	    2.98496	    1.48015	    1.28118	    1.23148	    1.40741
48.40000	    2.98049	    1.48272	    1.28238	    1.22956	    1.40522
48.60000	    2.97605	    1.48527	    1.28358	    1.22766	    1.40304
48.80000	    2.97165	    1.48779	    1.28476	    1.22577	    1.40089
49.00000	    2.96728	    1.49030	    1.28593	    1.22390	    1.39875
49.20000	    2.96294	    1.49279	    1.28708	    1.22204	    1.39662
49.40000	    2.95864	    1.49526	    1.28823	    1.22020	    1.39452
49.60000	    2.95438	    1.49770	    1.28936	    1.21837	    1.39243
49.80000	    2.95015	    1.50013	    1.29049	    1.21656	    1.39035
50.00000	    2.94595	    1.50254	    1.29160	    1.21476	    1.38830
50.20000	    2.94178	    1.50493	    1.29270	    1.21297	    1.38626
50.40000	    2.93764	    1.50730	    1.29379	    1.21120	    1.38423
50.60000	    2.93354	    1.50965	    1.29487	    1.20944	    1.38222
50.80000	    2.92947	    1.51199	    1.29593	    1.20770	    1.38023
51.00000	    2.92543	    1.51430	    1.29699	    1.20597	    1.37825
51.20000	    2.92142	    1.51660	    1.29804	    1.20425	    1.37628
51.40000	    2.91744	    1.51888	    1.29908	    1.20254	    1.37434
51.60000	    2.91350	    1.52114	    1.30010	    1.20085	    1.37240
51.80000	    2.90958	    1.52339	    1.30112	    1.19917	    1.37048
52.00000	    2.90569	    1.52562	    1.30213	    1.19751	    1.36858
52.20000	    2.90183	    1.52783	    1.30312	    1.19585	    1.36669
52.40000	    2.89800	    1.53002	    1.30411	    1.19421	    1.36481
52.60000	    2.89420	    1.53220	    1.30509	    1.19258	    1.36295
52.80000	    2.89042	    1.53436	    1.30606	    1.19096	    1.36110
53.00000	    2.88668	    1.53650	    1.30702	    1.18936	    1.35927
53.20000	    2.88296	    1.53863	    1.30797	    1.18776	    1.35744
53.40000	    2.87927	    1.54074	    1.30891	    1.18618	    1.35564
53.60000	    2.87561	    1.54284	    1.30984	    1.18461	    1.35384
53.80000	    2.87197	    1.54492	    1.31077	    1.18305	    1.35206
54.00000	    2.86836	    1.54698	    1.31168	    1.18151	    1.35029
54.20000	    2.86478	    1.54903	    1.31259	    1.17997	    1.34854
54.40000	    2.86122	    1.55107	    1.31349	    1.17845	    1.34680
